Imagen,Empresa,Fecha,Cierre,Maximo,Minimo
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,11/10/2019,"42,4400","42,4400","41,2200"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,14/10/2019,"42,0200","42,3000","41,1000"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,15/10/2019,"42,4000","42,7200","41,9200"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,16/10/2019,"42,6400","42,9800","41,9200"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,17/10/2019,"42,2600","43,1000","42,2400"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,18/10/2019,"42,1400","42,5800","41,8200"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,21/10/2019,"42,0400","42,8400","41,6800"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,22/10/2019,"41,9800","42,7800","41,3800"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,23/10/2019,"41,8600","42,6000","41,7400"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,24/10/2019,"42,3400","43,2800","41,8600"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,25/10/2019,"49,5800","49,6600","44,0000"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,28/10/2019,"47,6200","49,7400","47,6200"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,29/10/2019,"47,5800","47,9200","46,8600"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,30/10/2019,"47,9000","47,9800","47,1000"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,31/10/2019,"48,5800","48,7200","47,5400"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,01/11/2019,"48,8800","49,1000","48,6000"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,04/11/2019,"48,5000","49,0200","48,1000"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,05/11/2019,"48,5800","49,1600","47,9200"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,06/11/2019,"48,8800","48,8800","48,2400"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,07/11/2019,"49,5600","49,7000","48,7000"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,08/11/2019,"49,0200","49,5600","48,7200"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,11/10/2019,"42,4400","42,4400","41,2200"
"=HIPERVINCULO(""C:\Users\Sobras\Desktop\img\VISCOFAN.gif"";""VISCOFAN"")",VISCOFAN,14/10/2019,"42,0200","42,3000","41,1000"
